latitude,longitude
34.8128617763928,32.1961751884618
34.8129234216773,32.1961351551237
34.8129622480909,32.1961211910247
34.8130086620019,32.1961081906856
34.8130671514894,32.1960998437777
34.8131223394779,32.1960840361021
34.8131669894057,32.1960774965112
34.813203240499,32.1960608878144
34.8132506069499,32.196032321252
34.8132964358019,32.1959898331297
34.8133259987512,32.1959540138098
34.8133436243666,32.1959205108783
34.8133521887177,32.195875339489
34.8133505371397,32.1958238791276
34.8133418647828,32.1957682291319
34.8133276985919,32.1957217749036
34.81328542044,32.1956253124222
34.8132125053831,32.1955105191104
34.8131671781684,32.1954511044786
34.8131113586627,32.1953714612007
34.8130864207383,32.1953224799622
34.8130641325084,32.195279896225
34.8130493892014,32.1952361316956
34.813028383307,32.1951946021451
34.8129997262005,32.1951488919768
34.8129684832697,32.1951000011293
34.8129308289122,32.1950458392914
34.8128709716102,32.1949533827795
34.8128043414901,32.1948374264889
34.8127494434902,32.1947406084597
34.8126645640453,32.1945948813816
34.8126331939185,32.1945395567543
34.8126109486297,32.1944991174775
34.8125835742425,32.1944544613946
34.8125508794147,32.1943959379817
34.8125177594091,32.1943159689577
34.8124819048295,32.1942253132783
34.8124516046217,32.1941603199948
34.8124057258538,32.1940730257521
34.812362730602,32.1940039240971
34.8122990065328,32.1939072323647
34.8122354420319,32.193818582696
34.812166344727,32.1937053428424
34.8121118944995,32.1936310423586
34.8120572530672,32.1935470913233
34.8119909226312,32.1934461464314
34.8119453634909,32.1933749361911
34.8118899005964,32.1932813435803
34.8118747402409,32.1932483107106
34.8118302297757,32.1931663595416
34.8117799741005,32.1930490953742
34.8117324318118,32.192941445566
34.8117093585731,32.1928591871428
34.8116789531574,32.1927888322204
34.8116424128144,32.192727145882
34.8115844568772,32.1926668389825
34.8115328909744,32.1926107308358
34.8114719882536,32.1925290143959
34.81141991258,32.1924471714528
34.8113704652118,32.1923706537561
34.8113375807477,32.1923024794261
34.8113218752558,32.1922737446294
34.8112736890564,32.1921972088206
34.8112216774925,32.1921185826219
34.8111583596379,32.1920422635385
34.8111066031765,32.191976504659
34.8110408910027,32.1919066553233
34.8109814838443,32.1918367156373
34.8109143409658,32.1917583060382
34.8108511723002,32.1916894927487
34.810808413036,32.1916321855533
34.8107655901117,32.1915716614964
34.810692355101,32.1915040648783
34.810612170188,32.1914676727321
34.8105222585169,32.1914496537826
34.8104656631598,32.1914579723334
34.810403208813,32.1914888990587
34.8103219883714,32.1915276025628
34.8102573092191,32.191573577276
34.8102131666269,32.1916374918781
34.8101991813706,32.1916956117529
34.8102194549364,32.1917639669719
34.8102413080029,32.191848388358
34.8102475409518,32.1919083639186
34.8102716824953,32.1919809540857
34.8102990762094,32.1920266830356
34.8103253363663,32.1920788637245
34.8103548192475,32.1921663935897
34.8103907345401,32.1922602668514
34.810423257301,32.1923102126669
34.8104619151676,32.1923514899326
34.8105042710982,32.1923884238851
34.8105555601838,32.1924305928211
34.8106059918301,32.1924931531414
34.8106322098315,32.1925431891887
34.8106714413185,32.1926134179805
34.8107059049894,32.1926976586554
34.8107490682646,32.1927753392062
34.8108190523894,32.192869796956
34.810900491852,32.1929694535082
34.8109535734918,32.1930384112282
34.81100052015,32.1931160374874
34.8110408219986,32.193176597546
34.8111132862624,32.1932688744157
34.8111651922178,32.19334213922
34.811222545933,32.1934357050752
34.8112718238352,32.1935036445539
34.8113183460892,32.1935598250535
34.8113727319022,32.1936309090625
34.8114401103453,32.1937211134203
34.8114855205475,32.1937848178819
34.8115209596028,32.1938545644184
34.8115462893759,32.1939233832143
34.8115829151735,32.193989358677
34.8116426642694,32.1940764544796
34.8116880747982,32.1941401588535
34.8117535553696,32.1941982126675
34.8118217068253,32.1942637362633
34.8118964397607,32.1943431091
34.8119572378685,32.1944194638537
34.8120103636912,32.1944905656159
34.8120574395706,32.1945746250875
34.8121140016403,32.194691798699
34.8121579748894,32.1948102253143
34.8122095781805,32.1949317602918
34.8122462899218,32.1950020246406
34.8122920202381,32.1950818129573
34.8123483418135,32.1951550139142
34.8124236426908,32.1952311605067
34.8124826918119,32.1952828706007
34.8125330413629,32.1953411409007
34.8126011304613,32.1954034471743
34.8126438289124,32.1954575367864
34.8126781892592,32.1955364153838
34.8126986357696,32.1956133483051
34.8127264784087,32.1956815944936
34.8127681499515,32.195747497212
34.8128019788854,32.1957995687739
34.8128523714673,32.1958599834836
34.8128834019514,32.1958981515515
34.8129044292258,32.1959407533977
34.8129182092959,32.1959995479348
34.8129082316698,32.1960688727164
34.8128767312714,32.1961342157987
34.81286242818,32.1961762516997
